epoch,train_loss,val_loss,val_acc,val_f1
0,1.2758796645709447,1.1311506390571595,0.4859375,0.37967528030140774
1,0.955259143951961,1.0419640213251113,0.5125,0.4299615046813076
2,0.8559981402260917,1.036911940574646,0.50625,0.42980639717558305
3,0.7904689594949995,0.9350546509027481,0.534375,0.5225862101089027
4,0.7403341468402318,0.8843505039811135,0.5703125,0.5386740443966711
5,0.6990854748180935,0.9855759471654892,0.546875,0.46583518459470796
6,0.6708976696014405,0.8914373487234115,0.575,0.5249474966877405
7,0.6322824672562736,0.805437758564949,0.6234375,0.6200780998216
8,0.6090222076824733,0.7432460844516754,0.665625,0.6703167193743804
9,0.5875625863415854,0.7937409490346908,0.6515625,0.6294602844950126
10,0.2949401166064399,0.23625096455216407,0.9046875,0.9295474098009755
11,0.0880535846459014,0.13658199347555638,0.9515625,0.9654461888039662
12,0.04264748402535915,0.08877955107018351,0.965625,0.9734843461507211
13,0.028249562210696084,0.0611640629125759,0.978125,0.9848644190873383
14,0.021461268267461232,0.07631234604050405,0.9734375,0.9803671121558177
15,0.018534874433811223,0.054409405510523354,0.978125,0.9821224705434828
16,0.015450210253628237,0.026435004523955287,0.9890625,0.9913433831214764
17,0.01147568551991135,0.02041326382459374,0.9921875,0.9932732095624082
18,0.014115112857946328,0.0199271428733482,0.99375,0.9962152835754439
19,0.008744118251172559,0.045970898235100324,0.9859375,0.98761824556226
20,0.011625379681800094,0.02538200853159651,0.9890625,0.9925185058374042
21,0.006775351542879694,0.018167904418805846,0.9921875,0.9934112237363018
22,0.007033724010017301,0.0283128214381577,0.990625,0.9926436211577236
23,0.005589502836684031,0.039393484949687266,0.9859375,0.9904796421915638
24,0.007241300256769838,0.017708469811987017,0.99375,0.9943505858149293
25,0.006112077182800775,0.014765181325856247,0.9953125,0.9971596347902968
26,0.005954730419009658,0.02749618295711116,0.990625,0.9943229253631658
27,0.004890799587253215,0.024838730141709675,0.9921875,0.9942716430128273
28,0.004268721244131614,0.022911985743485276,0.9953125,0.9971521008491346
29,0.004832312036332275,0.026535115897513607,0.990625,0.9925126246904622
